topic,publications,share_of_dataset,citations_total,citations_median,first_year,latest_year,keyword_scope
identity_representation,5747,0.2316,112046,4.0,2000,2026,"identity, user identity, representation, digital identity, legal identity, display identity, preferred name, pronouns, self presentation"
hr_and_organizational_systems,3544,0.1428,110198,7.0,2000,2026,"human resource, hr, workplace, employee, organization, organizational, enterprise system, information system, collaboration platform"
inclusive_design_and_vsd,2827,0.1139,82447,8.0,2000,2026,"inclusive design, inclusion, diversity, equity, value sensitive design, human centered, user centered, participatory design, accessibility"
relational_and_legal_status,2767,0.1115,80350,7.0,2000,2026,"marital status, same-sex marriage, civil status, legal status, relationship, family, spouse"
ai_bias_and_digital_risk,2731,0.1101,87546,9.0,2000,2026,"artificial intelligence, ai, algorithmic, bias, discrimination, automated decision, recruitment"
iam_and_architecture,2674,0.1078,49600,6.0,2000,2026,"identity and access management, iam, access management, identity management, federated identity, provisioning, attribute, rbac, abac, authentication"
transgender_workplace_experience,2282,0.092,48110,5.0,2000,2026,"transgender, transsexual, gender identity, gender transition, misgendering, deadnaming, outing, lgbt, lgbtq, sexual orientation"
